,sid,grp,cnd,fam,tid,tord,pc_grand,pc_first,pc_last,dpc,alltime,freetime,nblocks,avstreak,lrn,int,comp,time,prog,rule,lrn2,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lp1,lp2,lp3,ntm,good_ord
711,192,S,i-,Squid,4_R,3,0.4823529411764706,0.4666666666666667,0.6,0.1333333333333333,0.27419354838709675,0.28,3,23.333333333333332,9,7,10,10,1,2,4,2.678571428571429,0.6785714285714288,3.678571428571429,3.678571428571429,-5.321428571428571,-4.321428571428571,-2.321428571428571,35,66,102,3,True
712,193,S,i+,Green,1_1D,1,0.7619047619047619,0.6666666666666666,0.8666666666666667,0.20000000000000007,0.06774193548387097,0.024,1,6.0,6,6,2,3,10,10,6,-0.9642857142857144,-0.9642857142857144,-4.964285714285714,-3.9642857142857144,3.0357142857142856,3.0357142857142856,-0.9642857142857144,33,23,19,3,False
713,193,S,i+,Bear,2_I1D,3,0.8805970149253731,0.7333333333333333,0.8666666666666667,0.13333333333333341,0.2161290322580645,0.208,3,17.333333333333332,6,6,2,2,10,10,6,-0.9642857142857144,-0.9642857142857144,-4.964285714285714,-4.964285714285714,3.0357142857142856,3.0357142857142856,-0.9642857142857144,33,23,19,3,False
714,193,S,i+,Squid,3_2D,4,0.609375,0.4,0.8,0.4,0.2064516129032258,0.196,2,24.5,10,6,3,7,10,10,6,3.0357142857142856,-0.9642857142857144,-3.9642857142857144,0.03571428571428559,3.0357142857142856,3.0357142857142856,-0.9642857142857144,33,23,19,3,False
715,193,S,i+,Bunny,4_R,2,0.46835443037974683,0.4666666666666667,0.4666666666666667,0.0,0.5096774193548387,0.572,4,35.75,7,10,10,10,1,10,10,0.03571428571428559,3.0357142857142856,3.0357142857142856,3.0357142857142856,-5.964285714285714,3.0357142857142856,3.0357142857142856,33,23,19,3,False
716,194,S,i-,Green,1_1D,4,0.8717948717948718,0.7333333333333333,0.9333333333333333,0.20000000000000007,0.12580645161290321,0.096,1,24.0,7,8,3,2,9,10,1,0.8928571428571432,1.8928571428571432,-3.1071428571428568,-4.107142857142857,2.8928571428571432,3.8928571428571432,-5.107142857142857,153,0,111,3,False
717,194,S,i-,Squid,2_I1D,1,0.9714285714285714,1.0,1.0,0.0,0.11290322580645161,0.08,1,20.0,5,8,1,1,10,10,1,-1.1071428571428568,1.8928571428571432,-5.107142857142857,-5.107142857142857,3.8928571428571432,3.8928571428571432,-5.107142857142857,153,0,111,3,False
718,194,S,i-,Bear,3_2D,2,0.6386554621848739,0.5333333333333333,0.6666666666666666,0.1333333333333333,0.38387096774193546,0.416,2,52.0,10,8,7,6,4,7,7,3.8928571428571432,1.8928571428571432,0.8928571428571432,-0.10714285714285676,-2.1071428571428568,0.8928571428571432,0.8928571428571432,153,0,111,3,False
719,194,S,i-,Bunny,4_R,3,0.4700854700854701,0.6,0.4666666666666667,0.0,0.3774193548387097,0.408,2,51.0,10,8,10,8,1,4,5,3.8928571428571432,1.8928571428571432,3.8928571428571432,1.8928571428571432,-5.107142857142857,-2.1071428571428568,-1.1071428571428568,153,0,111,3,False
720,195,S,i+,Squid,1_1D,3,0.96875,1.0,0.9333333333333333,0.0,0.1032258064516129,0.068,2,8.5,8,6,4,3,9,9,4,1.5714285714285712,-0.4285714285714288,-2.428571428571429,-3.428571428571429,2.571428571428571,2.571428571428571,-2.428571428571429,0,38,19,3,False
