sid,grp,tid,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lrn,int,comp,time,prog,rule,lrn2
278,1,2,0.4285714285714288,0.4285714285714288,-5.571428571428571,-5.571428571428571,3.428571428571429,3.428571428571429,-5.571428571428571,7,7,1,1,10,10,1
278,1,3,3.428571428571429,2.428571428571429,1.4285714285714288,2.428571428571429,0.4285714285714288,0.4285714285714288,1.4285714285714288,10,9,8,9,7,7,8
278,1,4,0.4285714285714288,3.428571428571429,3.428571428571429,3.428571428571429,-3.571428571428571,-2.571428571428571,3.428571428571429,7,10,10,10,3,4,10
279,1,1,-3.7857142857142856,-2.7857142857142856,-3.7857142857142856,-0.7857142857142856,3.2142857142857144,3.2142857142857144,-1.7857142857142856,2,3,2,5,9,9,4
279,1,2,-3.7857142857142856,-0.7857142857142856,-2.7857142857142856,-0.7857142857142856,2.2142857142857144,2.2142857142857144,-2.7857142857142856,2,5,3,5,8,8,3
279,1,3,2.2142857142857144,-1.7857142857142856,1.2142857142857144,0.2142857142857144,2.2142857142857144,2.2142857142857144,-1.7857142857142856,8,4,7,6,8,8,4
279,1,4,4.214285714285714,2.2142857142857144,4.214285714285714,4.214285714285714,-3.7857142857142856,-4.785714285714286,2.2142857142857144,10,8,10,10,2,1,8
280,1,1,3.071428571428571,3.071428571428571,-5.928571428571429,-4.928571428571429,2.071428571428571,3.071428571428571,-4.928571428571429,10,10,1,2,9,10,2
280,1,2,3.071428571428571,3.071428571428571,-5.928571428571429,-3.928571428571429,3.071428571428571,3.071428571428571,-5.928571428571429,10,10,1,3,10,10,1
280,1,3,3.071428571428571,3.071428571428571,-2.928571428571429,-0.9285714285714288,1.0714285714285712,3.071428571428571,-5.928571428571429,10,10,4,6,8,10,1
280,1,4,3.071428571428571,3.071428571428571,3.071428571428571,3.071428571428571,-5.928571428571429,-1.9285714285714288,3.071428571428571,10,10,10,10,1,5,10
281,1,1,-0.8214285714285712,-1.8214285714285712,-5.821428571428571,-5.821428571428571,3.178571428571429,3.178571428571429,-0.8214285714285712,6,5,1,1,10,10,6
281,1,2,-0.8214285714285712,-0.8214285714285712,-1.8214285714285712,1.1785714285714288,1.1785714285714288,3.178571428571429,3.178571428571429,6,6,5,8,8,10,10
281,1,3,-0.8214285714285712,3.178571428571429,3.178571428571429,2.178571428571429,-2.821428571428571,-2.821428571428571,0.17857142857142883,6,10,10,9,4,4,7
281,1,4,3.178571428571429,1.1785714285714288,1.1785714285714288,3.178571428571429,-4.821428571428571,-2.821428571428571,0.17857142857142883,10,8,8,10,2,4,7
282,1,1,0.5714285714285712,-0.4285714285714288,-2.428571428571429,-3.428571428571429,4.571428571428571,4.571428571428571,-4.428571428571429,6,5,3,2,10,10,1
282,1,2,2.571428571428571,2.571428571428571,1.5714285714285712,-1.4285714285714288,0.5714285714285712,-0.4285714285714288,-1.4285714285714288,8,8,7,4,6,5,4
282,1,3,-0.4285714285714288,0.5714285714285712,-1.4285714285714288,-2.428571428571429,2.571428571428571,2.571428571428571,-2.428571428571429,5,6,4,3,8,8,3
282,1,4,-3.428571428571429,-2.428571428571429,4.571428571428571,4.571428571428571,-2.428571428571429,-3.428571428571429,0.5714285714285712,2,3,10,10,3,2,6
283,1,1,0.39285714285714324,1.3928571428571432,0.39285714285714324,1.3928571428571432,-0.6071428571428568,2.3928571428571432,-0.6071428571428568,8,9,8,9,7,10,7
283,1,2,1.3928571428571432,-1.6071428571428568,1.3928571428571432,0.39285714285714324,0.39285714285714324,-0.6071428571428568,0.39285714285714324,9,6,9,8,8,7,8
283,1,3,-0.6071428571428568,-0.6071428571428568,-1.6071428571428568,-0.6071428571428568,-2.6071428571428568,-1.6071428571428568,-0.6071428571428568,7,7,6,7,5,6,7
283,1,4,-0.6071428571428568,1.3928571428571432,1.3928571428571432,0.39285714285714324,0.39285714285714324,0.39285714285714324,-1.6071428571428568,7,9,9,8,8,8,6
284,1,1,-3.0,0.0,-5.0,-5.0,4.0,4.0,4.0,3,6,1,1,10,10,10
284,1,2,-3.0,0.0,-5.0,-3.0,4.0,4.0,4.0,3,6,1,3,10,10,10
284,1,3,-3.0,0.0,-5.0,-5.0,4.0,4.0,4.0,3,6,1,1,10,10,10
284,1,4,4.0,4.0,4.0,4.0,-5.0,-5.0,-5.0,10,10,10,10,1,1,1
285,1,1,3.75,3.75,-1.25,1.75,0.75,2.75,0.75,10,10,5,8,7,9,7
285,1,2,3.75,3.75,0.75,1.75,-1.25,-0.25,0.75,10,10,7,8,5,6,7
285,1,3,-5.25,0.75,-3.25,-3.25,1.75,3.75,2.75,1,7,3,3,8,10,9
285,1,4,3.75,-5.25,3.75,-5.25,-5.25,-5.25,-5.25,10,1,10,1,1,1,1
286,1,1,-2.6071428571428568,-4.607142857142857,-3.6071428571428568,-3.6071428571428568,3.3928571428571432,4.392857142857143,-2.6071428571428568,3,1,2,2,9,10,3
286,1,2,3.3928571428571432,-1.6071428571428568,-4.607142857142857,-2.6071428571428568,4.392857142857143,4.392857142857143,-4.607142857142857,9,4,1,3,10,10,1
286,1,3,1.3928571428571432,-3.6071428571428568,2.3928571428571432,-3.6071428571428568,1.3928571428571432,4.392857142857143,-3.6071428571428568,7,2,8,2,7,10,2
