,sid,grp,tid,pc1
1136,198,1,4,0.6482846661467337
498,198,1,2,0.7613732049481053
183,198,1,1,0.5750135090631389
820,198,1,3,0.5838152209212244
184,199,1,1,0.7956330530292467
1137,199,1,4,0.6107269706602456
499,199,1,2,0.5111092643391069
821,199,1,3,0.5517793521370719
1138,200,1,4,0.5158279193339229
500,200,1,2,1.0
185,200,1,1,0.8778062418908023
822,200,1,3,0.7104089328777442
1139,201,1,4,0.3567345257724581
501,201,1,2,0.7133252512074157
823,201,1,3,0.5774447879306944
186,201,1,1,0.2956499849356993
187,202,1,1,0.9256429816993554
824,202,1,3,0.7380878790523426
502,202,1,2,0.5124215128748848
1140,202,1,4,0.7441259464276021
825,203,1,3,0.5718617047868899
503,203,1,2,0.8503255425130425
188,203,1,1,0.9627613591938939
1141,203,1,4,0.34932535839147766
826,204,1,3,0.614918134262501
189,204,1,1,0.76931010179901
504,204,1,2,0.9073616728898597
1142,204,1,4,0.6745251063828264
827,205,1,3,0.762108344577156
190,205,1,1,0.8131234703362178
505,205,1,2,0.9005376939702286
1143,205,1,4,0.630001443989447
1144,206,1,4,0.6150124786940374
191,206,1,1,0.40048540401433125
506,206,1,2,0.6754172719669017
828,206,1,3,0.6492869602929637
1145,207,1,4,0.4427763364901203
192,207,1,1,0.8944708172804148
507,207,1,2,0.3052789504732566
829,207,1,3,0.4808609273468339
1146,208,1,4,0.3823051393947881
508,208,1,2,0.9111999551606764
193,208,1,1,0.7694867430018969
830,208,1,3,0.8347865663553778
831,209,1,3,0.554724593893715
509,209,1,2,0.7539379681789025
194,209,1,1,0.6185801921818478
1147,209,1,4,0.4955212810028397
832,210,1,3,0.45882290568497325
195,210,1,1,0.9801098901098901
1148,210,1,4,0.6082435657012855
510,210,1,2,0.6134182084916774
196,211,1,1,0.783119393736489
833,211,1,3,0.5448412698412698
1149,211,1,4,0.8197376276270872
1150,212,1,4,0.22646221165651778
197,212,1,1,1.0
511,212,1,2,0.47626831241028306
834,212,1,3,0.5754206417219877
512,213,1,2,0.6695414788552043
198,213,1,1,0.6776032610320536
1151,213,1,4,0.4001477038986798
835,213,1,3,0.5317231825248381
513,214,1,2,0.7633476706882952
1152,214,1,4,0.510200219718661
199,214,1,1,0.8927588349715824
836,214,1,3,0.3590609466945313
200,215,1,1,0.6324184765594107
1153,215,1,4,0.8965709648273384
514,215,1,2,0.934480261988352
837,215,1,3,0.8254514143728575
