form,sid,grp,ntm,loss,aic,bic,tau,pc_coef,dlp_coef,rlp_coef,mlp_coef,relt_coef
rLP + mLP + RELT,2,0,1,230.39380273618588,522.7876054723719,631.9528939261014,6.183532676898653,,,1.5699961766572543,0.15717647343153815,0.5370587981668502
PC + dLP + rLP + mLP,2,0,1,284.4915093652884,630.9830187305768,740.1483071843063,7.059682037496661,0.18614747324824935,0.02529840632730996,0.6779197781649791,0.26956070406979543,
PC + dLP + rLP + RELT,2,0,1,210.29089214344174,482.5817842868835,591.7470727406131,7.8773933220478,0.3572788429437119,-1.1067660467370621,1.3423570556730742,,0.5480950175025323
PC + dLP + mLP + RELT,2,0,1,243.06992091913432,548.1398418382687,657.3051302919982,4.912338979351925,1.6197210401711015,-1.6191783079126076,,-1.6314223945114918,0.8921505310960599
PC + rLP + mLP + RELT,2,0,1,195.3066419783128,452.6132839566256,561.7785724103552,6.51668405724799,2.157998850935969,,2.514994305137263,-2.7746794937083528,0.9261559609104292
dLP + rLP + mLP + RELT,2,0,1,220.6944155012421,503.3888310024842,612.5541194562138,6.1616555206391705,,-1.1616794833183854,1.5702219216644095,0.4432188557985315,0.6398359752308328
PC + dLP + rLP + mLP + RELT,2,0,1,188.4099329985661,438.8198659971322,547.9851544508618,7.167733070512134,2.039837892410357,-0.9846807888490504,2.2564935112010445,-2.3588990141640664,0.9285364751696517
PC,3,0,3,324.89616840060717,711.7923368012144,820.9576252549441,-6.346749421419273,0.2836210991433133,,,,
dLP,3,0,3,315.88718094414867,693.7743618882972,802.939650342027,8.697142767729265,,-0.8122094385878439,,,
rLP,3,0,3,335.02211533447985,732.0442306689598,841.2095191226894,4.658052589907741,,,0.8188604569496344,,
mLP,3,0,3,345.0515920461355,752.103184092271,861.2684725460008,9.066393527331432,,,,-0.03746135924689758,
RELT,3,0,3,311.13571194353784,684.2714238870757,793.4367123408052,4.138394606126903,,,,,0.8342269021411252
PC + dLP,3,0,3,298.22078197330416,658.4415639466083,767.6068524003379,3.5741933452393044,-0.4566506068730706,-1.8959193439519628,,,
PC + rLP,3,0,3,323.84963812268103,709.699276245362,818.8645646990916,5.588992465097465,-0.27702903679110497,,0.25044665955138423,,
PC + mLP,3,0,3,324.49390275848214,710.9878055169643,820.1530939706938,3.567118931525896,-0.4929528919182558,,,-0.057737872954056774,
